State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
HIMACHAL PRADESH,2002,6150833,5548106,602727,3125921,3027633,4130754,2321675,1809079,76.38,55673,123,86,6,137,0,137,138,116,22,0,1,18,710,564,142,422,646,75,137,0,145,1476,6,326,12,234,0,482,6921,12243,25325,91,812,3,91,199.0462105
JAMMU & KASHMIR,2002,10366861,7794857,2572004,5478866,4887995,4995618,3161628,1833990,57.74,222236,1048,1240,31,192,0,192,674,596,78,42,0,163,1321,2020,664,1356,996,91,382,20,386,366,18,785,368,54,0,380,9390,19967,42820,1,2195,6,42,192.6041065
JHARKHAND,2002,27484744,21371129,6113615,14162737,13335068,12304437,7922143,4382294,54.79,79714,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,31439,68517,125,2288,124,111,114.3870942
KARNATAKA,2002,53643320,35412368,18230951,27275502,26340918,31336347,18102741,13233606,66.09,191791,1627,1576,55,292,0,292,645,300,345,178,66,972,6480,13818,4376,9442,6838,485,2764,175,437,22824,233,1648,100,1826,0,152,50508,113699,242153,1787,3916,240,114,211.9536971
KERALA,2002,32000580,23692321,8308259,15522754,16470996,25740480,12842877,12897603,91.22,38863,454,562,210,499,0,499,162,91,71,137,4,610,4624,5743,1978,3765,8090,357,2924,135,452,19033,17,2123,102,2836,0,32,55094,104200,214804,524,6268,102,240,325.6190982
LAKSHADWEEP,2002,61013,33885,27128,31324,29696,45397,24854,20575,87.39,32,0,0,0,1,0,1,0,0,0,0,0,0,9,12,0,12,18,0,0,0,2,5,0,1,0,0,0,0,5,53,119,1,1,0,0,86.86673332
MADHYA PRADESH,2002,61494634,45224114,16270520,32009637,29482458,32561180,20164080,12397100,66.09,308245,2395,2864,194,2891,0,2891,964,639,325,136,142,1829,13344,20759,4845,15914,3178,507,1240,54,1053,29955,674,7118,783,3117,0,3679,94923,191799,408212,7217,15140,2504,2329,311.8955062
MAHARASHTRA,2002,98331805,56614311,41717494,51131404,47189144,65539852,37928662,27611190,77.37,307713,2768,1435,93,1352,1,1351,953,650,303,548,271,2136,14471,37606,9122,28484,6360,1468,4145,176,1269,29250,303,2686,769,5353,0,9407,42643,165462,370835,634,11828,271,1860,168.269056
MANIPUR,2002,2203622,1617863,585759,1125216,1101146,1363480,781344,582136,71.17,22327,165,160,3,14,0,14,157,82,75,3,8,6,44,255,115,140,64,28,72,12,48,378,0,58,0,10,0,25,1074,2584,5594,0,134,0,0,117.2614904
MEGHALAYA,2002,2376791,1911328,465463,1204313,1171303,1209696,639457,570239,63.62,22429,167,58,3,38,0,38,52,10,42,64,2,109,154,392,51,341,9,9,33,8,23,89,0,23,0,0,0,12,419,1664,3810,0,113,2,1,70.01036271
