State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
UTTARAKHAND,2008,9618525,7149612,2468913,4867715,4684866,6280748,3576602,2704146,76.22,53483,223,217,40,87,0,87,247,222,25,16,2,144,423,1622,726,896,509,171,463,31,15,937,73,120,306,340,0,590,2280,8856,19668,42,22941,0,38,92.07232918
WEST BENGAL,2008,87763016,63213547,24549469,45077054,42666911,56701698,31751253,24950445,74.07,88752,1811,1732,488,2263,0,2263,2332,1907,425,184,1055,613,462,17334,2593,14741,5425,876,2938,148,150,9033,451,2396,94,13663,5,3789,38177,105419,232767,19,1181,17,513,120.1177954
A& N ISLANDS,2009,376326,253560,122765,200824,174747,285150,160256,124549,84.5,8249,15,4,4,18,0,18,16,14,2,0,0,11,86,134,10,124,11,7,20,2,12,89,1,30,7,21,0,2,451,941,2050,0,26014,2,41,250.0491595
ANDHRA PRADESH,2009,83180441,60468242,22712195,41620630,41390259,47901746,27685487,21713565,65.2,275045,2449,1859,134,1188,0,1188,1958,1526,432,102,27,544,7772,24692,7804,16888,2261,904,8528,461,1039,44488,546,5147,3520,11297,0,13438,48087,180441,388720,4504,48,830,1719,216.9271981
ARUNACHAL PRADESH,2009,1307022,1043677,273345,684837,636103,700032,408557,291475,62.3,83743,59,33,5,59,0,59,62,28,34,20,0,55,201,381,109,272,52,38,29,8,28,526,0,58,6,13,0,110,619,2362,5226,0,25536,21,33,180.7161624
ASSAM,2009,30264737,26359816,3904921,15519726,14760997,18029443,10055265,7974178,69.6,78438,1323,417,35,1631,0,1631,2718,2092,626,251,21,680,3149,7644,1713,5931,1808,802,1098,84,476,6547,170,1342,10,4398,1,2735,17973,55313,122619,0,171,9,,182.7638548
BIHAR,2009,99557809,89143877,10413932,52278537,47686305,47386175,29134374,18251801,58.2,94163,3152,3068,243,929,0,929,3222,1986,1236,654,64,1619,3566,15221,3674,11547,8554,1186,2676,69,685,14746,1295,726,12,2532,31,4516,54165,122931,265234,3836,11462,1016,1016,123.4770042
CHANDIGARH,2009,1022575,104589,917986,566573,461274,769839,444869,324970,84.1,114,22,18,8,29,0,29,40,36,4,4,3,27,241,1731,1117,614,66,38,193,4,4,63,2,26,2,51,0,7,976,3555,8910,0,8815,0,71,347.6517615
CHHATTISGARH,2009,24602224,19659360,4942864,12368794,12233426,14430017,8370617,6059400,67.94,135191,1083,732,19,976,0,976,286,229,57,134,16,554,3975,5792,2181,3611,957,166,682,68,335,9543,128,1598,152,893,0,2735,20546,51370,109794,284,154,376,1321,208.8022611
D & N HAVELI,2009,313549,241792,71757,178386,137336,192906,125827,67079,72.41,491,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,442,963,1,4186,16,11,140.9668026
DAMAN & DIU,2009,217258,136329,80929,136677,86500,168054,111449,56605,85.26,112,10,5,1,4,0,4,12,9,3,9,0,2,43,63,21,42,53,17,20,1,5,23,0,2,1,3,0,17,151,442,963,2,17,0,2,203.4447523
DELHI,2009,16101223,1098242,15002981,8684986,7465491,12017746,6838238,5179508,85.3,16579,552,369,84,469,0,469,2536,1655,881,36,69,515,1733,21731,13224,8507,57,333,2000,47,34,1938,141,552,118,1283,0,846,14808,50251,125238,33,5,0,2839,312.0943049
GOA,2009,1426041,721653,704388,727264,707245,1124856,599923,524933,85.32,3702,53,24,11,47,0,47,33,22,11,4,0,30,294,858,336,522,50,52,132,27,24,191,3,37,10,21,0,220,884,3005,6948,3,5193,0,92,210.7232541
GUJARAT,2009,58444247,36609987,21834260,30194940,27791598,38880073,22590653,16289420,84.2,196024,1020,468,30,433,0,433,1348,1162,186,246,11,1420,4488,19669,11130,8539,1539,1256,1014,238,240,9456,24,727,114,5506,0,5178,60758,115183,251816,243,106,195,968,197.0818445
HARYANA,2009,24388247,17334823,7053424,13004597,11459540,15570990,9257144,6313846,75.86,44212,948,690,78,603,0,603,916,659,257,153,297,679,4077,12917,8449,4468,1166,827,1406,35,153,3977,281,451,605,2617,0,1549,21804,56229,126894,97,8741,0,353,230.5577765
HIMACHAL PRADESH,2009,6686472,6031259,655213,3405197,3304975,4764390,2599238,2165152,75.68,55673,125,73,13,183,0,183,150,122,28,4,0,21,784,823,327,496,591,117,264,2,124,1230,1,318,37,284,0,616,7555,13315,27786,13,5425,1,221,199.1334145
JAMMU & KASHMIR,2009,12072669,9077457,2995212,6380382,5692285,6548978,3968374,2580604,75.92,222236,237,547,23,237,0,237,873,825,48,1,0,69,1566,2631,876,1755,1472,132,475,37,217,331,12,972,371,196,0,517,11059,21975,47691,1,995,0,18,182.0227159
JHARKHAND,2009,31711778,24548707,7163071,16268530,15423230,16780524,10147541,6632983,64.2,79714,1636,1274,104,719,0,719,827,517,310,412,53,780,1392,7716,2990,4726,2312,473,910,15,203,4132,295,276,83,710,6,1678,11430,37436,84134,631,3141,182,60,118.050776
KARNATAKA,2009,59535757,39302233,20233524,30063420,29234330,38469508,21518466,16951042,66.3,191791,1702,1607,79,509,0,509,892,408,484,273,346,1825,6629,20576,11093,9483,6269,461,5079,171,293,20105,264,2186,64,3185,2,417,61108,134042,290061,2174,2715,272,308,225.1453694
KERALA,2009,33015475,24412031,8603444,15907075,17175351,27603605,13485545,14118060,93.71,38863,343,408,100,568,0,568,256,173,83,112,266,830,3554,5564,2029,3535,8086,354,3394,66,503,18274,20,2540,395,4007,0,41,68688,118369,243126,467,8031,102,587,358.5258125
LAKSHADWEEP,2009,63613,35330,28283,32706,30963,50727,27389,23631,92.69,32,0,1,0,1,0,1,0,0,0,3,0,0,1,10,5,5,44,0,0,0,2,14,0,0,0,0,0,0,58,134,279,0,11074,0,0,210.6487668
MADHYA PRADESH,2009,70154651,51592829,18561822,36267294,33866074,40282488,23968752,16313736,85.16,308245,2386,2212,117,2998,1,2997,1036,841,195,117,156,2270,10661,23260,10705,12555,2409,575,1830,27,741,37132,858,6307,728,3983,1,6591,101367,207762,442818,3040,0,1135,4646,296.1485761
MAHARASHTRA,2009,109133047,62833102,46299945,56552531,52481081,77757843,43568107,34189736,81.21,307713,2653,1880,98,1483,0,1483,1286,926,360,780,287,3314,15841,50930,18133,32797,8030,1895,7976,478,1105,28326,341,3196,1099,7681,0,12459,48460,199598,452895,1096,16509,224,2894,182.8941879
MANIPUR,2009,2479605,1820487,659118,1355900,1335968,1799812,1007608,792204,76.06,22327,131,478,2,31,0,31,159,97,62,1,188,3,68,394,283,111,48,20,96,1,81,224,0,39,2,25,0,0,861,2852,6288,0,15293,0,72,115.0183195
MEGHALAYA,2009,2825250,2271965,553285,1421798,1392307,1644203,847158,797045,71.54,22429,128,39,12,112,0,112,56,26,30,64,1,67,147,545,180,365,18,26,113,9,54,207,0,72,1,24,1,72,680,2448,5609,0,247,0,83,86.64719936
MIZORAM,2009,1049290,528519,520771,533710,517124,802256,419951,382305,90.84,21081,31,14,8,83,1,82,9,0,9,2,0,4,381,761,77,684,1,30,61,9,24,120,0,61,1,4,0,36,407,2047,4947,0,267,0,14,195.0842951
NAGALAND,2009,1974163,1634113,340050,1028025,950459,1272980,695949,577031,75.42,1483,46,35,7,22,0,22,52,10,42,8,0,92,82,347,69,278,4,6,33,3,4,38,0,11,0,0,0,34,235,1059,2539,0,43,0,0,53.64298693
ODISHA,2009,40811100,34693275,6117825,20675564,20198780,25120998,14384959,10736039,71.2,155707,1250,1231,48,1023,0,1023,930,799,131,380,63,1488,2937,7136,2521,4615,1718,258,1137,34,413,6816,384,2697,210,2047,1,2979,20560,55740,120569,1709,39,552,194,136.5804891
PUDUCHERRY,2009,1187136,396862,790274,584112,602219,877875,456407,421468,84.84,479,37,25,5,1,0,1,18,13,5,7,5,9,71,711,502,209,141,7,47,5,11,901,0,53,16,10,0,233,2278,4591,9912,29,7534,0,21,386.729069
PUNJAB,2009,27010638,17848700,9161938,14285236,12712033,17784075,9969336,7814739,74.49,50362,853,1014,129,511,0,511,692,513,179,38,96,171,2507,5624,2713,2911,8,234,3098,63,101,5498,126,319,33,1061,0,3289,10080,35545,77917,108,93,0,729,131.5962992
RAJASTHAN,2009,66207168,50724426,15482742,34200798,31662342,35649606,22334296,13315310,65.01,342239,1395,1673,80,1519,0,1519,2870,2310,560,53,57,886,5294,22144,12156,9988,1145,842,15037,59,556,21652,436,2485,24,10371,0,7898,70089,166565,359663,639183,2793,1183,1407,251.5815206
SIKKIM,2009,594998,529138,65860,314866,279835,390980,222876,168104,78.11,7096,19,7,3,18,0,18,6,6,0,0,0,4,93,62,8,54,39,4,12,2,9,91,0,10,0,6,0,59,225,669,1424,16,18017,14,40,112.4373527
TAMIL NADU,2009,70299525,39339010,30960515,35095047,34981734,49202453,26935479,22266974,78.87,130058,1776,2325,26,596,0,596,1372,1133,239,97,34,1144,4221,15712,4973,10739,2397,215,2557,352,580,18147,194,1242,501,1460,0,13528,106215,174691,367062,1312,39,22,634,248.4952779
TRIPURA,2009,3575563,2965613,609950,1831079,1747020,2625816,1424056,1201760,78.59,10486,133,59,2,190,0,190,121,92,29,7,0,77,231,415,39,376,178,52,110,20,62,1047,29,384,5,815,0,225,1324,5486,11698,7,5928,27,163,153.4303829
UTTAR PRADESH,2009,193205303,153052996,40152307,100207445,92130564,105367918,63897770,41470148,64.86,240928,4534,4141,1439,1759,0,1759,6083,5078,1005,365,59,2285,5260,29226,16109,13117,4263,3917,8845,339,254,10934,2232,2782,2524,8566,0,12159,60918,172884,382836,7522,1676,4,3085,89.48201593
UTTARAKHAND,2009,9791658,7278305,2513353,4950466,4769193,6470216,3666017,2804199,76.9,53483,195,185,51,111,0,111,275,247,28,35,7,179,363,1601,735,866,466,156,544,43,17,1198,94,119,249,361,0,685,1868,8802,19591,58,20030,0,33,89.89284552
WEST BENGAL,2009,88903935,64035323,24868612,45617978,43264247,58216789,32418029,25798760,74.88,88752,2068,2119,931,2336,0,2336,2750,2187,563,214,724,751,329,17133,3709,13424,6700,918,3298,153,344,11196,506,1942,108,16112,5,3623,38776,113036,248291,21,1069,16,484,127.1439785
A& N ISLANDS,2010,378922,255310,123612,201828,176249,289427,162018,127039,84.9,8249,9,7,4,24,0,24,10,8,2,1,0,7,80,121,22,99,11,10,56,0,12,80,0,31,10,9,0,9,489,980,2115,0,28919,1,51,258.6284248
ANDHRA PRADESH,2010,84095425,61133392,22962029,42024350,41878664,49003486,28246882,22473539,65.8,275045,2538,1953,155,1362,0,1362,2053,1531,522,134,2,550,8200,26756,7422,19334,2231,1130,9164,186,925,46777,588,4634,4562,12080,0,14085,41373,181438,393047,4321,47,807,1823,215.7525216
ARUNACHAL PRADESH,2010,1337083,1057452,279631,699218,652641,732933,423679,309254,63.3,83743,75,34,3,47,0,47,67,46,21,15,0,69,211,445,139,306,31,59,91,0,28,439,0,84,1,12,0,106,622,2439,5437,0,25167,54,20,182.4120118
ASSAM,2010,30748972,26781573,3912730,15752521,15014886,18609846,10316701,8293145,70.4,78438,1223,431,46,1721,5,1716,3250,2767,483,248,12,662,3458,7860,2124,5736,2183,992,1371,68,437,5744,175,1400,20,5410,0,2847,22110,61668,136167,7,200,3,197,200.5530461
BIHAR,2010,101847638,91194186,10653452,53533221,48783090,49982216,30416286,19565930,59.8,94163,3362,2915,344,795,0,795,3674,2569,1105,644,46,1538,3437,15544,4257,11287,8809,1071,3025,52,660,15328,1257,534,16,2271,8,5615,56508,127453,274919,3516,13470,1843,1843,125.1408501
CHANDIGARH,2010,1038935,106262,932673,574505,470499,787390,453321,334069,84.5,114,21,30,9,31,0,31,38,28,10,5,6,67,236,1481,898,583,65,23,163,3,9,65,5,29,4,41,0,6,1036,3373,8296,0,9836,0,59,324.6593868
CHHATTISGARH,2010,25118870,20072206,5046664,12628538,12490327,14900710,8604994,6295716,68.49,135191,1065,756,30,1012,0,1012,359,279,80,122,15,552,3711,5805,2139,3666,1092,196,813,59,319,10188,115,1706,182,861,2,2907,23091,54958,117092,271,241,386,1463,218.7916893
D & N HAVELI,2010,327658,252672,74986,187126,143104,208538,134886,73652,74.5,491,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378,840,0,4208,2,13,115.3641907
DAMAN & DIU,2010,226816,142327,84489,143510,89527,177687,117913,59774,86.19,112,6,0,1,3,0,3,18,10,8,2,0,3,25,63,34,29,44,12,18,1,2,11,0,11,2,3,0,20,133,378,840,0,14,0,2,166.6549097
DELHI,2010,16407145,1119108,15288037,8830025,7634211,12351128,6995517,5355611,85.76,16579,565,311,71,507,0,507,3208,1740,1468,32,31,599,1502,23088,14966,8122,53,273,1845,33,52,1925,143,601,80,1404,0,914,14055,51292,129387,16,8,0,3630,312.6198982
GOA,2010,1437449,727426,710023,732427,713327,1143677,607721,535956,85.74,3702,35,27,3,36,0,36,25,18,7,2,0,39,368,1034,359,675,64,57,117,33,23,177,1,36,16,17,0,256,927,3293,7681,1,5920,0,79,229.0863885
GUJARAT,2010,59496242,37268966,22227276,30708253,28264055,40193079,23268372,16924707,86.3,196024,1048,462,44,408,0,408,1447,1290,157,186,18,1384,4071,16794,9817,6977,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,116439,251527,195,160,155,1006,195.7081592
HARYANA,2010,24827224,17646849,7180385,13225675,11688730,16073485,9507086,6566399,76.92,44212,1005,836,63,720,0,720,963,714,249,147,248,734,4445,16266,11299,4967,1414,919,1662,29,221,3733,284,476,580,2720,0,1595,20060,59120,136189,107,9517,0,303,238.1256962
HIMACHAL PRADESH,2010,6766709,6103634,663075,3447080,3346617,4870068,2648623,2221445,75.58,55673,132,74,12,160,0,160,194,162,32,2,0,11,743,838,334,504,615,110,318,4,127,1374,2,350,78,275,0,610,7020,13049,27290,5,5922,2,246,192.8411581
JAMMU & KASHMIR,2010,12338267,9277161,3061106,6520750,5817515,6808964,4099330,2709634,78.95,222236,217,711,26,245,0,245,896,840,56,6,0,61,1406,2510,967,1543,2169,150,422,19,224,278,9,1038,262,211,0,494,11869,23223,50097,1,906,0,17,188.2193018
JHARKHAND,2010,32346013,25039681,7306332,16593900,15747117,17550446,10512852,7037594,65.67,79714,1689,1028,82,773,0,773,978,696,282,335,19,709,1357,7090,2709,4381,2447,505,988,16,185,4271,276,245,16,650,8,1745,13477,38889,86619,577,3322,234,54,120.2281097
KARNATAKA,2010,60428792,39891766,20537026,30484307,29672844,39617706,22056427,17561279,66.33,191791,1805,1850,94,586,0,586,1374,586,788,272,300,1949,6059,20093,10840,9253,7710,464,5543,192,286,21835,248,2544,83,3441,0,471,65123,142322,306697,2505,3458,294,409,235.5201805
KERALA,2010,33180552,24534091,8646461,15962749,17278403,27881537,13579943,14301594,94.08,38863,363,361,86,634,0,634,261,184,77,74,221,636,2682,4380,1486,2894,8724,343,3581,54,374,18532,22,2936,537,4797,0,47,98668,148313,301901,583,8703,88,596,446.9877415
LAKSHADWEEP,2010,63993,35541,28452,32908,31148,51538,27772,24103,93.47,32,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,3,0,0,0,2,1,0,0,0,0,0,0,26,42,89,0,10714,0,0,65.63217852
MADHYA PRADESH,2010,71487588,52573092,18914496,36920105,34543395,41534255,24567970,16966285,88.31,308245,2423,2277,123,3135,0,3135,1187,1030,157,110,110,1919,9897,21577,11353,10224,2606,507,1779,33,748,39193,892,6646,918,3756,5,7038,107390,214269,454437,3374,2,1384,4912,299.7289543
MAHARASHTRA,2010,110770042,63775598,46994444,57372542,53284041,79689086,44439469,35249617,81.77,307713,2744,1926,152,1599,0,1599,1508,1124,384,778,285,3721,16617,52565,18676,33889,8412,1948,8684,389,1229,29696,393,3661,1180,7434,0,13508,49739,208168,472008,1132,16718,292,3264,187.9280681
MANIPUR,2010,2521758,1851435,670323,1392509,1373375,1872742,1044889,827853,76.79,22327,92,258,1,34,0,34,199,107,92,0,196,2,66,417,254,163,65,24,59,7,86,227,0,31,0,18,0,1,932,2715,6080,0,15952,0,73,107.6629875
MEGHALAYA,2010,2895881,2328764,567117,1455921,1427114,1717991,881891,836100,72.75,22429,134,60,8,149,0,149,71,37,34,42,1,67,166,664,152,512,7,37,98,4,52,154,0,48,0,24,0,53,666,2505,5894,0,289,0,110,86.50217326
MIZORAM,2010,1071324,539617,531707,543850,529529,821853,429609,392244,91.1,21081,48,27,7,92,0,92,9,0,9,3,0,16,425,823,69,754,0,25,79,12,15,116,0,75,0,3,0,44,355,2174,5272,0,248,0,50,202.9264723
NAGALAND,2010,1972187,1632478,339709,1025660,951409,1294602,704300,590302,76.77,1483,45,35,13,16,0,16,50,6,44,3,0,63,62,397,80,317,2,13,39,3,1,36,0,13,3,1,0,22,242,1059,2581,0,39,0,10,53.69673363
ODISHA,2010,41341643,35144287,6197356,20942278,20471463,25881293,14715813,11165480,72.3,155707,1308,1436,31,1025,0,1025,1016,912,104,346,117,1491,2855,7572,2627,4945,1779,322,1108,29,430,7181,388,2905,232,2067,5,3450,19366,56459,122531,1710,36,556,194,136.5668994
PUDUCHERRY,2010,1216813,406783,810030,597546,618358,905369,468729,436640,85.3,479,33,19,16,3,0,3,17,14,3,2,10,5,72,534,384,150,131,12,77,3,10,806,1,46,22,7,0,242,1867,3935,8424,31,,0,16,323.3857626
PUNJAB,2010,27361776,18080733,9281043,14456658,12890001,18204428,10178692,8025736,75.12,50362,907,994,120,546,0,546,789,576,213,65,143,241,2661,5446,2467,2979,0,243,3527,75,101,4873,121,349,38,1163,0,3350,10896,36648,80077,115,,0,627,133.9386742
RAJASTHAN,2010,67531310,51738914,15792396,34850613,32286090,36798558,22937321,13861237,65.61,342239,1421,1557,104,1571,0,1571,2985,2477,508,37,84,872,4714,22324,13245,9079,986,789,16584,36,478,19247,462,2339,23,11145,0,7978,67221,162957,352794,624166,,1319,1318,241.3058476
SIKKIM,2010,602137,535487,66650,318329,283472,416901,236694,180207,79.65,7096,17,6,2,18,0,18,6,6,0,1,0,7,72,53,8,45,4,1,20,3,7,73,1,11,0,3,0,47,200,552,1181,3,,1,29,91.67348959
TAMIL NADU,2010,71354017,39929095,31424922,35586377,35513456,50413840,27501124,22912716,79.57,130058,1875,2641,32,686,0,686,1720,1464,256,85,12,1817,4715,14583,5045,9538,2664,177,3259,312,636,21309,165,1405,638,1570,0,14644,110733,185678,388345,1631,,33,810,260.2208086
TRIPURA,2010,3625620,3007131,618489,1856164,1772351,2713537,1462505,1251032,79.29,10486,150,63,8,238,0,238,114,91,23,16,2,65,221,457,64,393,163,53,122,6,51,1136,25,376,9,937,0,237,1356,5805,12419,11,,35,227,160.1105466
UTTAR PRADESH,2010,196876202,155961002,40915200,101910971,93973175,109862770,66070294,43792476,66.02,240928,4401,4004,1401,1563,1,1562,6321,5468,853,337,48,2577,4915,31153,18216,12937,4186,3817,9553,426,170,10336,2217,2793,11,7978,0,14472,61500,174179,387395,6272,,0,2332,88.47133286
UTTARAKHAND,2010,9967907,7409314,2558593,5034623,4764508,6665621,3757667,2907954,77.59,53483,176,219,60,121,0,121,286,249,37,12,2,162,310,2138,871,1267,458,167,567,33,17,974,75,125,165,334,0,738,2101,9240,21025,35,,0,31,92.69749407
WEST BENGAL,2010,90059685,64867782,25191903,46165393,43869946,59774724,33098807,26675917,75.7,88752,2398,2111,630,2311,0,2311,3345,2764,581,288,687,798,388,19389,4123,15266,6809,1011,3260,214,331,12764,507,2465,163,17796,8,2847,49096,129616,284277,63,,47,880,143.9223333
A& N ISLANDS,2011,380581,256117,124464,202837,177764,294281,164377,129904,86.63,8249,14,6,2,13,0,13,15,12,3,1,0,1,99,88,4,84,11,3,32,0,6,81,0,15,3,5,0,6,392,793,1702,0,48,7,31,208.3656304
ANDHRA PRADESH,2011,84580777,61805863,22774914,42442146,42138631,50556760,28251243,22305517,67.02,275045,2808,2229,171,1442,0,1442,2154,1612,542,126,7,600,8300,28267,8966,19301,2210,1174,9748,224,1021,54452,599,4849,3658,13376,0,13973,38392,189780,411423,4016,25536,805,2213,224.3772246
ARUNACHAL PRADESH,2011,1382611,1081773,300838,713912,669815,766005,439868,326137,65.38,83743,65,29,2,42,0,42,93,60,33,13,0,64,183,414,152,262,49,54,74,2,34,379,0,51,0,18,0,98,622,2286,5121,0,171,34,35,165.3393471
ASSAM,2011,31169272,27210078,3959194,15939443,15266133,19177977,10568639,8609338,72.19,78438,1303,504,48,1700,0,1700,3764,3192,572,305,4,837,3327,8309,585,7724,2328,920,1495,60,506,6306,121,1193,8,5246,2,2915,25513,66714,147201,0,11462,2,236,214.0377228
BIHAR,2011,103804637,92906156,10898481,54278157,49821295,52504553,31608023,20896530,61.8,94163,3198,3327,348,934,1,933,4268,3050,1218,556,105,1381,3629,16292,5041,11251,9768,1741,3776,64,705,19391,1413,790,11,2607,10,5877,55705,135896,293286,3623,8815,2233,2233,130.9151536
CHANDIGARH,2011,1054686,107962,946724,580663,474787,805438,465346,340092,86.05,114,24,40,6,27,0,27,58,46,12,6,2,68,285,1502,915,587,66,25,255,0,9,45,2,21,12,46,0,7,1036,3542,8671,1,154,0,74,335.8345517
CHHATTISGARH,2011,25540196,20493722,5046474,12832895,12712303,15379922,8807893,6572029,70.28,135191,1110,747,28,1053,0,1053,472,365,107,68,7,470,3548,5315,2292,3023,934,180,980,65,289,11105,104,1654,174,834,2,2856,25223,57218,121276,253,4186,336,1782,224.0311703
D & N HAVELI,2011,342853,264042,78811,193760,149949,223230,142521,80709,76.24,491,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372,826,1,17,2,11,108.5013111
DAMAN & DIU,2011,242911,148589,94322,150301,92946,188406,124643,63763,87.1,112,14,2,0,4,0,4,9,8,1,7,0,2,22,69,43,26,20,10,18,2,5,25,0,2,0,3,0,24,134,372,826,0,5,0,3,153.142509
DELHI,2011,16753235,1140371,15612864,8987326,7800615,12737767,7194856,5542911,86.21,16579,543,386,71,572,0,572,3767,2085,1682,33,25,562,1419,22899,14668,8231,50,337,2590,44,42,1946,142,657,162,1575,0,1168,14363,53353,133944,28,5193,0,4250,318.4638668
GOA,2011,1457723,733245,724478,739140,719405,1165487,615823,549664,86.21,3702,48,22,6,29,0,29,28,17,11,2,0,26,318,1115,463,652,74,45,142,31,24,215,1,29,12,18,0,263,1001,3449,8070,4,106,1,75,236.6018784
GUJARAT,2011,60383628,37939807,22443821,31491260,28948432,41093358,23474873,17618485,88.7,196024,1126,478,43,439,0,439,1614,1442,172,221,24,1368,4509,16043,8934,7109,1615,1339,1399,256,263,10159,30,685,93,6052,0,5827,69788,123371,264838,217,8741,153,1131,204.3120032
HARYANA,2011,25353081,17964492,7388589,13494734,11856728,16598988,9794067,6804921,78.03,44212,1062,851,60,733,0,733,959,733,226,167,176,638,5011,17425,12541,4884,1466,812,1761,18,166,3423,255,474,490,2740,0,1505,20549,60741,140599,89,5425,0,280,239.5803492
HIMACHAL PRADESH,2011,6856509,6176877,679632,3481873,3382729,5039736,2752590,2287146,75.55,55673,130,50,6,168,0,168,212,191,21,1,0,10,995,1042,356,686,530,143,359,4,110,1251,4,331,62,239,0,563,8102,14312,30046,4,995,4,261,208.7359617
JAMMU & KASHMIR,2011,12548926,9420476,3128450,6640662,5900640,7067233,4264671,2802562,82.8,222236,169,494,29,277,0,277,1077,1023,54,14,0,88,1516,2655,930,1725,1405,195,612,39,205,246,11,1194,350,286,0,385,13257,24504,53017,1,3141,0,25,195.2677066
JHARKHAND,2011,32966238,25513780,7452458,16930315,16057819,18328069,10882519,7445550,67.16,79714,1747,718,83,784,0,784,941,660,281,309,40,614,1235,6378,1872,4506,2133,447,907,22,138,4403,282,317,7,659,6,1728,11940,35838,79779,636,2715,309,85,108.7112215
KARNATAKA,2011,61130704,40490142,20640562,30966657,30128640,40647322,22508471,18138851,66.41,191791,1820,1837,85,636,0,636,1395,715,680,214,399,2123,6136,19834,10226,9608,7265,440,5850,105,231,21295,267,2608,81,3712,12,750,60505,137600,297065,2481,8031,285,334,225.0914696
KERALA,2011,33387677,24656761,8730916,16027412,17378649,28135824,13704903,14430921,94,38863,365,521,105,1132,0,1132,299,221,78,71,245,741,3001,4704,1454,3250,10754,340,5155,56,450,21747,15,3756,573,5377,0,65,112665,172137,350409,761,11074,231,1452,515.5704603
LAKSHADWEEP,2011,64429,35754,28675,33123,31350,52553,28023,24530,94,32,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,1,0,0,3,3,0,0,0,0,0,0,27,44,92,0,0,0,0,68.29222865
MADHYA PRADESH,2011,72597565,53571980,19025585,37612306,35014503,42851169,25174328,17676841,91.85,308245,2511,2340,139,3406,0,3406,1288,1088,200,118,117,1952,10230,22414,11595,10819,2080,557,1860,12,784,35711,811,6665,762,3732,45,7478,112082,217094,461296,3245,16509,1284,4381,299.0375779
MAHARASHTRA,2011,112372972,64732231,47640741,58243056,54131277,81554290,45257584,36296706,82.34,307713,2818,2105,144,1701,0,1701,1669,1252,417,773,291,4249,16313,53449,19270,34179,8556,1883,9098,351,1255,29769,339,3794,1071,7136,0,13024,45114,204902,466623,1143,15293,321,3362,182.3409992
MANIPUR,2011,2721756,1882909,848747,1438586,1417208,1908476,1039858,868618,76.94,22327,78,245,4,53,0,53,169,116,53,1,154,7,52,719,553,166,70,42,126,12,99,292,1,38,0,39,0,2,1015,3218,7377,0,247,1,87,118.232494
MEGHALAYA,2011,2964007,2386983,577024,1491832,1475057,1785005,913879,871126,74.43,22429,170,51,3,130,0,130,87,37,50,49,0,63,145,696,190,506,8,52,166,13,34,197,1,74,1,21,3,90,701,2755,6423,0,267,0,104,92.94849843
MIZORAM,2011,1091014,550948,540066,555339,541867,848175,438529,409646,91.33,21081,26,24,8,77,0,77,6,0,6,1,0,6,336,734,39,695,0,21,66,2,19,97,0,72,1,9,0,37,279,1821,4459,0,159,0,52,166.9089489
NAGALAND,2011,1980602,1630845,349757,1024649,953853,1342434,723957,618477,79.55,1483,46,43,11,23,0,23,34,3,31,7,0,59,73,360,85,275,1,16,31,5,2,55,0,9,0,1,0,15,292,1083,2583,0,36,0,20,54.68034466
ODISHA,2011,41947358,35601162,6346196,21212136,20762082,26742595,15089681,11652914,72.87,155707,1477,1621,51,1112,0,1112,1139,1008,131,417,84,1583,3031,8724,2986,5738,1556,250,1391,10,423,7894,465,3207,235,2320,0,3778,20509,61277,133529,1455,8347,484,315,146.0807138
PUDUCHERRY,2011,1244464,414184,830280,612511,635442,957309,497378,459931,85.85,479,32,22,12,7,0,7,12,9,3,5,10,11,65,707,511,196,125,9,54,4,10,853,1,35,16,10,0,243,2119,4362,9450,18,78,0,15,350.5123491
